,ts,resp_pkts,id.resp_h,resp_l2_addr,orig_l2_addr,source,orig_bytes,duration,uid,LINE_ID,local_resp,cat,conn_state,host,local_orig,service,offset,id.orig_h,resp_bytes,orig_ip_bytes,missed_bytes,id.resp_p,resp_ip_bytes,orig_pkts,history,GROUP_ID,batchtime,@timestamp,id.orig_p,proto
0,1580000000000.0,0,255.255.255.255,ff,2c,/opt/bro/spool/bro/conn.log,756.0,0.00085,CU4J7R1P5y36Y7BxAd,1001,False,conn,S0,wxs22cae,True,udp_5246,228938235,10.192.24.164,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,61232.0,udp
1,1580000000000.0,0,ff02,33,70,/opt/bro/spool/bro/conn.log,436.0,1.2e-05,Clx9kQ1sIR07W6W9re,1001,False,conn,S0,wxs22cae,False,udp_5246,228938694,fe80,0.0,532,0,5246,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,5264.0,udp
2,1580000000000.0,0,ff02,33,84,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,COalC812AiW73FHkV9,1001,False,conn,S0,wxs22cae,False,udp_547,228939151,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
3,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000525,CsChNr4mTRcR9IP5Db,1001,False,conn,S0,wxs22cae,True,udp_5246,228939604,10.192.24.172,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64570.0,udp
4,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000529,ClbASW3eMko1oMgGT8,1001,False,conn,S0,wxs22cae,True,udp_5246,228940057,10.192.24.170,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,63137.0,udp
5,1580000000000.0,0,ff02,33,7c,/opt/bro/spool/bro/conn.log,16.0,1.7e-05,CCmhWA3Gt3igBK7dEg,1001,False,conn,OTH,wxs22cae,False,icmp_134,228940499,fe80,0.0,112,0,134,0,2,,sie866f9,2020-03-01T01,2020-03-01T01,133.0,icmp
6,1580000000000.0,0,ff02,33,2c,/opt/bro/spool/bro/conn.log,100.0,1.3000000000000001e-05,C7fJVT2InmQGRy73Wb,1001,False,conn,S0,wxs22cae,False,udp_547,228940955,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
7,1580000000000.0,0,255.255.255.255,ff,78,/opt/bro/spool/bro/conn.log,436.0,8e-06,CQnZjs4I6mwdpOXFzk,1001,False,conn,S0,wxs22cae,True,udp_5246,228941407,10.192.24.140,0.0,492,0,5246,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,5256.0,udp
8,1580000000000.0,0,ff02,33,f4,/opt/bro/spool/bro/conn.log,100.0,1.1e-05,C9qj2412TpkqGpy7rg,1001,False,conn,S0,wxs22cae,False,udp_547,228941864,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
9,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000863,CbECNg1QDuWqqVr89b,1001,False,conn,S0,wxs22cae,True,udp_5246,228942317,10.192.24.162,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64345.0,udp
10,1580000000000.0,0,ff02,33,78,/opt/bro/spool/bro/conn.log,436.0,2.1e-05,CRjTki3rSlXGYXsaC6,1001,False,conn,S0,wxs22cae,False,udp_5246,228942775,fe80,0.0,532,0,5246,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,5256.0,udp
11,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000545,CQPxxm49uCwEHP1JYe,1001,False,conn,S0,wxs22cae,True,udp_5246,228943228,10.192.24.173,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,50030.0,udp
